name,address,phone,hours
竹南延平店,苗栗縣竹南鎮延平路166號,03-7465-579,10:00-22:00
苗栗縣府店,苗栗縣苗栗市自治路16號,03-7263-118,10:30-21:30
頭份中華店,苗栗縣頭份市中華路1307號,03-7670-509,10:00-22:00
苑裡中山店,苗栗縣苑裡鎮苑北里021鄰中山路243號,03-7865-611,10:00-21:00
苗栗縣府院,苗栗縣苗栗市自治路16號,03-7351-329,週一至週日：10:30~19:30(院休週四)
台中中清店,台中市北區立人里中清路1段629.631.633.635號,04-2299-1000,10:00-22:00
台中北屯店,台中市北屯區三光里北屯路218號、220號,04-2233-8017,10:00-22:00
北屯后庄北店,台中市北屯區后庄里后庄北路11號1-3樓,04-2426-7066,10:00-21:00
台中沙鹿店,台中市沙鹿區晉江里台灣大道7段279、281號,04-2633-0281,10:00-22:00
台中總院,台中市大里區國光路2段539號,04-2406-6688,週一至週日：24 小時營業
台中北屯院,台中市北屯區三光里北屯路220號,04-2253-2266,週二至週日：11:00~20:00 週一及週四：公休
北屯軍功店,台中市北屯區軍功路一段603號,04-2435-1051,11:00-22:00
台中東海店,台中市龍井區遊園南路102.106號1樓,04-2652-1111,10:00-22:00
豐原圓環東店,台中市豐原區南陽里圓環東路257號,04-2527-3339,11:00~21:00
台中澄清店,台中市西屯區西屯路三段92-1號,04-2461-8811,09:00-22:00
台中青海店,台中市西屯區青海路二段225號,04-2452-8957,10:00-22:00
大里仁化店,台中市大里區仁化路585號,04-2496-6218,10:00-22:00
彰化中正店,彰化縣彰化市南瑤里中正路二段749.751.753號,04-7512-555,10:00-22:00
彰化中山店,彰化縣彰化市永福里中山路二段515號,04-7278-222,10:00-22:00
和美彰美店,彰化縣和美鎮和東里彰美路5段247號,04-7565-555,10:00-22:00
員林三民東店,彰化縣員林市中正里三民東街76號1.2樓,04-8342-888,10:00-22:00
田中福安店,彰化縣田中鎮中路里福安路28號,04-8750-112,09:00-21:00
溪湖彰水店,彰化縣溪湖鎮彰水路三段319、321號,04-8810-080,10:00-21:00
北斗中華店,彰化縣北斗鎮中華路388號1、2樓,04-8873-161,10:00-21:00
彰化中山院,彰化縣彰化市中山路二段515號,04-7281-066,週一、週二以及週四至週六：11：00～20：00 週三及週日：公休
草屯明賢店,南投縣草屯鎮明賢街109號,04-9233-6001,10:00-21:00
埔里中山店,南投縣埔里鎮中山路三段372號1樓,04-9291-0060,10:00-21:00
虎尾林森店,雲林縣虎尾鎮立仁里林森路二段232號,05-6332-666,10:00-22:00
斗六民生南店,雲林縣斗六市民生南路67號,05-5321-222,10:00-22:00
北港民享店,雲林縣北港鎮民享路13號,05-7836-501,10:00-22:00
西螺公正店,雲林縣西螺鎮公正路143號,05-5881-506,10:00-21:00
斗南延平店,雲林縣斗南鎮延平路二段178號1樓,05-5952-319,10:00-21:00
麥寮中興店,雲林縣麥寮鄉中興路43號,05-6936-133,10:00-21:00
嘉義友愛店,嘉義市西區福全里友愛路187號,05-2810-999,10:00-22:00
嘉義北港店,嘉義市西區福安里北港路313號,05-2330-006,10:00-22:00
嘉義吳鳳南店,嘉義市東區興村里吳鳳南路360號,05-2306-999,10:00-21:00
嘉義西區院*,嘉義市西區北港路313號,05-2313-699,週一至週日：11:00~20:00 院休：二、六
嘉義朴子店,嘉義縣朴子市大同路291號,05-3701-483,09:00-20:00
永康永大店,台南市永康區崑山里永大路二段25號,06-2053-681,10:30-21:30
台南仁德店,台南市仁德區文華路三段448號,06-2792-159,犬貓門診、特寵門診（需預約） 週一至週日：10:00~21:00 週二：院休日
台南中華院,台南市永康區中華路657號,06-2339-650,週一至週五：11:00~20:00 週三：公休
台南金華院,台南市南區新興路509-2號,06-2641-220,週一至週日：11:00~20:00 週二、週三：公休 6/22最後服務日 6/25 搬遷至西門院試營運 台南市北區小北里西門路四段268號
台南總院,台南市南區西門路一段473號,06-2203-166,週一至週日：24 小時營業
台南大灣院X,台南市永康區永大路二段25號,06-2054-702,週一至週日：11:00-20:00 公休：週四
關廟南雄店,台南市關廟區南雄路二段462號,06-5950-565,10:30-21:30
台南西門店,台南市北區西門路四段268號,06-2813-222,10:00-22:00
仁德中山店,台南市仁德區中山路491號,06-2708-339,10:00-21:00
台南中華東店,台南市東區中華東路三段193號,06-2909-996,10:00-21:00
安平建平店,台南市安平區建平路271號1樓,06-2935-252,10:00-22:00
安南海佃店,台南市安南區海佃路二段58.60.62.66號1樓,06-2455-666,10:00-22:00
新營民生店,台南市新營區民生路167號,06-6562-220,10:00-22:00
麻豆興中店,台南市麻豆區興中路164號,06-5721-883,10:00-22:00
善化光復店,台南市善化區光復路66號,06-5815-852,10:00-22:00
台南永康店,台南市永康區中華路657號,06-3023-456,10:00-22:00
佳里新生店,台南市佳里區新生路357號,06-7217-202,10:00-22:00
台南新興店,台南市南區新興路509-2號、509-3號1樓,06-2611-161,10:00-22:00
歸仁中山店,台南市歸仁區中山路三段97、99號,06-2390-133,10:00-21:00
新市中正店,台南市新市區中正路365號,06-5990-880,10:00-22:00
三民建工店(停業),高雄市三民區建工路351號1、2樓,07-3800-097,11:00-20:00
高雄文自店,高雄市左營區文自路500號,07-3498-234,週一至週日：10:00~21:30
高雄九如院,高雄市三民區九如一路458號1、2樓,07-3871-966,11:00~20:00 院休週四、週日
三民十全店,高雄市三民區十全二路114號、116號,07-3115-158,12:00-21:00
小港桂陽店,高雄市小港區桂陽路115號,07-7913-955,10:00-22:00
左營左大店,高雄市左營區左營大路161.163號,07-5818-668,10:00-21:00
小港宏平店,高雄市小港區宏平路432號,07-8033-315,10:00-22:00
前鎮瑞隆店,高雄市前鎮區瑞隆路401號,07-7158-666,10:00-22:00
楠梓藍昌店,高雄市楠梓區藍昌路425號,07-5918-777,10:00-21:00
前金自立店,高雄市前金區自立二路91.93號,07-2853-335,13:00-23:00
仁武仁雄店,高雄市仁武區仁雄路33號,07-3715-333,10:00-22:00
苓雅大順店,高雄市苓雅區大順三路218號,07-7111-118,10:00-22:00
楠梓興楠店,高雄市楠梓區興楠路60號,07-3542-228,10:00-22:00
大寮鳳林店,高雄市大寮區鳳林三路135.137.139.141號,07-7827-776,10:00-22:00
高雄林園東店,高雄市林園區東林東路28-1號,07-6425-770,10:00-22:00
路竹中山店,高雄市路竹區中山路1205.1207.1209號,07-6962-681,10:00-22:00
鳳山青年店,高雄市鳳山區青年路二段62之5號,07-7105-751,10:00-22:00
岡山柳橋西店,高雄市岡山區柳橋西路6號,07-6259-336,10:00-22:00
前金自強一店,高雄市前金區自強一路138號及140號1樓,07-2111-001,12:00-21:00
高雄九如店,高雄市三民區九如一路458號1、2樓,07-3871-966,週一至週日：10:00~21:00
屏東自由店,屏東縣屏東市自由路474號,08-7351-777,10:00-22:00
東港中正店,屏東縣東港鎮中正路1段173.175號,08-8356-661,10:00-22:00
潮州延平店,屏東縣潮州鎮延平路211.213.215號,08-7886-000,10:00-22:00
內埔學人店,屏東縣內埔鄉學人路723.725號,08-7792-225,10:00-21:00
恆春環城南店,屏東縣恆春鎮山腳里環城南路27號,08-8891-300,10:00-22:00
屏東萬丹店,屏東縣萬丹鄉萬丹路一段186號,08-7770-998,10:00-21:00
花蓮中正店,花蓮縣花蓮市主農里中正路121號,03-8346-000,09:00-21:00
吉安自強店,花蓮縣吉安鄉北昌村自強路636號.640號,03-8570-586,09:00-21:00
玉里和平店,花蓮縣玉里鎮國武里024鄰和平路96號1樓、2樓,03-8880-029,09:00-21:00
台東更生店,台東縣台東市更生路507號,08-9330-030,09:00-21:00
澎湖馬公店,澎湖縣馬公市朝陽里林森路36號1樓,06-9270-857,10:00-22:00
